ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:1.1.1.2;AK1A1
ec:1.1.1.8;GPD1L,GPDA
ec:1.1.1.10;DCXR
ec:1.1.1.14;DHSO
ec:1.1.1.21;ALDR
ec:1.1.1.22;UGDH
ec:1.1.1.27;LDH6A,LDH6B,LDHA,LDHB,LDHC
ec:1.1.1.30;BDH2,BDH
ec:1.1.1.31;3HIDH
ec:1.1.1.34;HMDH
ec:1.1.1.35;ECHP,HCD2,HCDH
ec:1.1.1.37;MDHC,MDHM
ec:1.1.1.38;MAOM
ec:1.1.1.40;MAON,MAOX
ec:1.1.1.41;IDH3A,IDH3B,IDH3G
ec:1.1.1.42;IDHC,IDHP
ec:1.1.1.44;6PGD
ec:1.1.1.45;CRYL1
ec:1.1.1.47;G6PE
ec:1.1.1.49;G6PD
ec:1.1.1.51;HCD2
ec:1.1.1.62;AK1BF,DHB11,DHB12,DHB1,DHB2,DHB7,DHB8,H17B6
ec:1.1.1.64;AK1C3,DHB3
ec:1.1.1.79;GRHPR
ec:1.1.1.81;GRHPR
ec:1.1.1.95;SERA
ec:1.1.1.96;MDHC
ec:1.1.1.100;FAS
ec:1.1.1.102;KDSR
ec:1.1.1.105;H17B6,RDHE2
ec:1.1.1.112;AK1C1,AK1C3
ec:1.1.1.141;PGDH
ec:1.1.1.145;3BHS1,3BHS2
ec:1.1.1.146;DHI1
ec:1.1.1.149;AK1C1
ec:1.1.1.153;SPRE
ec:1.1.1.170;NSDHL
ec:1.1.1.178;HCD2
ec:1.1.1.179;DHDH
ec:1.1.1.181;3BHS7
ec:1.1.1.184;CBR1,CBR3,DHRS4
ec:1.1.1.188;AK1C3
ec:1.1.1.189;CBR1
ec:1.1.1.197;CBR1
ec:1.1.1.205;IMDH1,IMDH2
ec:1.1.1.211;ECHA
ec:1.1.1.225;AK1C4
ec:1.1.1.239;AK1C3,DHB2,DHB8,H17B6
ec:1.1.1.263;AKCL2
ec:1.1.1.270;DHB7
ec:1.1.1.271;FCL
ec:1.1.1.284;ADHX
ec:1.1.1.300;DHRS3,RDH10,RDH11,RDH8
ec:1.1.1.315;RDH1
ec:1.1.1.330;DHB12
ec:1.1.1.357;AK1C2,AK1C3,AK1C4
ec:1.1.1.n11;ARK72
ec:1.1.1.n12;DHB4
ec:1.1.2.4;LDHD
ec:1.1.3.15;HAOX1,HAOX2
ec:1.1.5.3;GPDM
ec:1.1.99.1;CHDH
ec:1.1.99.2;L2HDH
ec:1.1.99.24;HOT
ec:1.2.1.3;AL1B1,AL3A2,AL7A1,AL9A1,ALDH2
ec:1.2.1.5;AL1A3,AL3A1,AL3B1,AL3B2
ec:1.2.1.8;AL7A1
ec:1.2.1.12;G3PT,G3P
ec:1.2.1.18;MMSA
ec:1.2.1.19;AL9A1
ec:1.2.1.24;SSDH
ec:1.2.1.27;MMSA
ec:1.2.1.31;AL7A1
ec:1.2.1.36;AL1A1,AL1A2
ec:1.2.1.41;P5CS
ec:1.2.1.47;AL9A1
ec:1.2.1.88;AL4A1
ec:1.2.1.n2;FACR1,FACR2
ec:1.2.3.1;AOXA
ec:1.2.4.1;ODPAT,ODPA,ODPB
ec:1.2.4.2;DHTK1,ODO1
ec:1.2.4.4;ODBA,ODBB
ec:1.3.1.2;DPYD
ec:1.3.1.3;AK1D1
ec:1.3.1.20;AK1C1,AK1C2,AK1C3,DHDH
ec:1.3.1.21;DHCR7
ec:1.3.1.22;PORED,S5A1,S5A2
ec:1.3.1.24;BIEA,BLVRB
