tcdb:2.a.30.3.4;SLC12A8
tcdb:9.a.57.1.2;ESYT2
tcdb:9.a.57.1.3;ESYT3
tcdb:2.a.21.3.15;SLC5A10
tcdb:9.a.46.1.2;CLRN2
tcdb:1.a.17.1.5;ANO9
tcdb:2.a.1.19.28;SLC22A23
tcdb:9.a.14.17.2;TAS2R4
tcdb:2.a.7.24.14;SLC35F4
tcdb:9.b.92.1.2;IZUMO1R
tcdb:1.n.2.1.7;TMEM8B
tcdb:1.i.1.1.3;POM121B
tcdb:8.a.16.3.2;TMEM202
tcdb:1.n.2.1.1;TMEM8C
tcdb:2.a.1.53.3;MFSD1
tcdb:2.a.17.3.10;SLC15A5
tcdb:2.a.1.19.35;SLC22A20
tcdb:2.a.1.19.23;SLC22A31
tcdb:1.a.37.7.1;TMEM212
tcdb:2.a.18.6.12;SLC38A8
tcdb:9.a.49.1.2;PRAF2
tcdb:1.i.1.1.3;POM121C
tcdb:1.i.1.1.3;POM121C
tcdb:1.a.54.3.3;POM121C
tcdb:2.a.126.1.6;POM121C
tcdb:1.a.13.1.6;CLCA1
tcdb:9.b.38.1.2;PLP1
tcdb:1.a.21.1.4;PLP1
tcdb:9.b.142.3.4;PLP1
tcdb:2.a.125.1.1;RFT1
tcdb:1.a.1.3.7;KCNT1
tcdb:2.a.1.19.21;SLC22A24
tcdb:9.b.202.1.1;TMEM128
tcdb:1.i.1.1.3;ENY2
tcdb:1.i.1.1.3;MYO1C
tcdb:1.f.1.1.1;MYO1C
tcdb:3.a.19.1.1;WRB
tcdb:1.a.12.1.2;WRB
tcdb:8.a.22.1.4;WRB
tcdb:8.a.40.7.1;UPK1A
tcdb:2.a.41.2.3;UPK1A
tcdb:2.a.23.2.5;SLC1A7
tcdb:2.a.1.25.1;SLC1A7
tcdb:1.i.1.1.3;IPO5
tcdb:3.a.18.1.1;IPO5
tcdb:1.f.2.1.2;EXOC5
tcdb:2.a.1.14.28;SLC17A3
tcdb:1.h.1.1.16;CLDN5
tcdb:1.i.1.1.3;KPNA3
tcdb:8.a.90.1.1;UPK2
tcdb:1.a.1.11.27;CACNA1A
tcdb:1.i.1.1.3;DDX3X
tcdb:3.a.20.1.1;PEX12
tcdb:2.a.1.14.29;SLC17A2
