D00001; Sterile water (TN);;;
D00002; Nicotinamide adenine dinucleotide;;; 
D00003; Oxygen (JP17/USP);;;
D00004; Carbon dioxide (TN);;;
D00005; Adeflavin (TN);;;
D00006; Hipyridoxin (TN);;; 
D00007; L-Glutamic acid (JP17);;; 
D00008; Oxyfull (TN);;;
D00009; D-Glucose;;;
D00010; Acetasol (TN);;;
D00011; Glycine (JP17/USP); GLRA [HSA:2741 2742 8001 2743] [KO:K05193 K05194 K05195 K05196];; 
D00012; L-Alanine (JP17);;; 
D00013; L-Aspartic acid (JP17);;; 
D00014; Tathion (TN);;;
D00015; Nutrestore (TN);;; 
D00016; L-Serine (JP17);;; 
D00017; Formalin (JP17);;;
D00018; Ascorbicap (TN);;; 
D00019; L-Methionine Z (TN);;; 
D00020; L-Tryptophan (JP17);;; 
D00021; L-Phenylalanine (JP17);;; 
D00022; L-Tyrosine (JP17);;; 
D00023; Pastaron (TN);;;
D00024; Sastid (TN);;;
D00025; Sucrose (TN); TAS1R2 [HSA:80834] [KO:K04625]  |  TAS1R3 [HSA:83756] [KO:K04626];;
D00026; Ecolan (TN);;; 
D00027; Uracil (JAN/USAN);;; 
D00028; Glycerol (INN);;; 
D00029; Bioepiderm (TN);;; 
D00030; L-Leucine (JP17);;; 
D00031; Glutathione (TN);;;
D00032; L-Histidine (JP17);;; 
D00033; Phenol for disinfection (TN);;; 
D00034; Leucon (TN);;;
D00035; L-Proline (JP17);;; 
D00036; Nicotinamide (JP17/INN);;; 
D00037; Citric acid anhydrous (JAN);;;
D00038; Benzoic acid (TN);;;
D00039; L-Valine (JP17);;; 
D00040; Cholesterol (TN);;;
D00041; L-Threonine (JP17);;; 
D00042; Calomide (TN);;; 
D00043; Floropryl (TN); ACHE [HSA:43] [KO:K01049]  |  BCHE [HSA:590] [KO:K01050];; 
D00044; Madoros (TN);;;
D00045; Adenoscan (TN); ADORA1 [HSA:134] [KO:K04265]  |  ADORA2 [HSA:135 136] [KO:K04266 K04267]  |  ADORA3 [HSA:140] [KO:K04268];; 
D00046; Lactose (TN);;;
D00047; Taurine (TN);;;
D00048; Lipoamide;;;
D00049; Niaspan (TN);;; 
D00050; Bisulase (TN);;; 
D00051; Androstenedione (JAN);;;
D00052; Versene acid (TN);;; 
D00054; Inotin (TN);;;
D00055; Orotic acid (JAN);;;
D00056; Parenzyme (TN);;;
D00057; Nicholin (TN);;; 
D00058; Gammalon (TN); GABRA/GABRB/GABRD/GABRE/GABRG/GABRP/GABRQ [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]  |  GABBR [HSA:2550 9568] [KO:K04615];; 
