edge name,provenance
SMAD3/SMAD4 (ACTIVATION) SNAI1,pid
SNAI1 (INHIBITION) EGR1,pid
dNp63a (tetramer) (ACTIVATION) COL5A1,pid
dNp63a (tetramer) (ACTIVATION) AXL,pid
dNp63a (tetramer) (ACTIVATION) RRAD,pid
dNp63a (tetramer) (INHIBITION) HES1,pid
dNp63a (tetramer) (INHIBITION) YAP1,pid
dNp63a (tetramer) (ACTIVATION) Fra2,pid
dNp63a (tetramer) (ACTIVATION) VDR,pid
dNp63a (tetramer) (ACTIVATION) FASN,pid
dNp63a (tetramer) (INHIBITION) p14ARF,pid
dNp63a (tetramer) (INHIBITION) HBP1,pid
dNp63a (tetramer) (ACTIVATION) BDKRB2,pid
dNp63a (tetramer) (ACTIVATION) TCF7L1,pid
MYC/Max (ACTIVATION) SNAI1,pid
MYC/Max (INHIBITION) SFRP1,pid
MYC/Max (ACTIVATION) p53,pid
MYC/Max (ACTIVATION) E2F3,pid
MYC/Max (ACTIVATION) ENO1,pid
MYC/Max (ACTIVATION) NPM1,pid
MYC/Max (ACTIVATION) MMP9,pid
MYC/Max (INHIBITION) CEBPA,pid
MYC/Max (INHIBITION) PVT1,pid
MYC/Max (ACTIVATION) PMAIP1,pid
STAT6 (dimer) (ACTIVATION) COL1A1,pid
STAT6 (dimer) (ACTIVATION) COL1A2,pid
STAT6 (dimer) (ACTIVATION) CCL11,pid
STAT6 (dimer) (ACTIVATION) EGR2,pid
STAT6 (dimer) (ACTIVATION) CCL26,pid
STAT6 (dimer) (ACTIVATION) IL4,pid
STAT6 (dimer) (ACTIVATION) IL5,pid
STAT6 (dimer) (PART_OF) STAT6 (dimer)/PARP14,PathwayCommons
STAT6 (dimer) (ACTIVATION) IL4R,pid
GTF3A (ACTIVATION) COL1A1,pid
FOXM1 (ACTIVATION) GAS1,pid
FOXM1 (ACTIVATION) MMP2,pid
FOXM1 (PART_OF) FOXM1B/HNF6,PathwayCommons
FOXM1 (ACTIVATION) FOS,pid
FOXM1 (ACTIVATION) ER alpha,pid
FOXM1 (PART_OF) FOXM1C/SP1,PathwayCommons
FOXM1 (ACTIVATION) HSPA1A,pid
ETA receptor/Endothelin-1 (ACTIVATION) COL3A1,pid
ETA receptor/Endothelin-1 (ACTIVATION) COL1A2,pid
ETB receptor/Endothelin-1 (ACTIVATION) COL1A2,pid
Fra2/JUN (ACTIVATION) COL1A2,pid
Fra2/JUN (ACTIVATION) LIF,pid
Fra2/JUN (ACTIVATION) Fra1,pid
SP1 (ACTIVATION) COL1A2,pid
SP1 (ACTIVATION) TERT,CTD
SP1 (ACTIVATION) TGFB1,CTD
SP1 (PART_OF) SMAD3/SMAD4/SP1,PathwayCommons
SP1 (PART_OF) SP1/HDAC2,PathwayCommons
SP1 (ACTIVATION) E2F1,pid
SP1 (ACTIVATION) AHR,CTD
SP1 (ACTIVATION) AR,CTD
SP1 (PART_OF) FOXM1C/SP1,PathwayCommons
SP1 (PART_OF) SP1/3,PathwayCommons
SP1 (PART_OF) ESR1/SP1/E2F1 promoter,PathwayCommons
SP1 (PART_OF) SP1/TNFSF10 promoter,PathwayCommons
SP1 (PART_OF) SP1/SOD2 promoter,PathwayCommons
SP1 (PART_OF) TP53/SP1,PathwayCommons
SP1 (ACTIVATION) CAV1,CTD
SP1 (ACTIVATION) PROC,pid
SP1 (ACTIVATION) CDKN1A,pid
SMAD3/SMAD4/SP1 (ACTIVATION) COL1A2,pid
SMAD3/SMAD4/SP1 (ACTIVATION) CDKN1A,pid
MYC/Max/MIZ-1 (INHIBITION) COL1A2,pid
MYC/Max/MIZ-1 (INHIBITION) CCL5,pid
Myb (ACTIVATION) COL1A2,pid
Myb (ACTIVATION) Myb,pid
Myb (PART_OF) SKI/SIN3a/NCoR1/TIF1B/Myb,PathwayCommons
Myb (ACTIVATION) GATA3,pid
Myb (ACTIVATION) KIT,pid
Myb (PART_OF) Myb/GATA1,PathwayCommons
Myb (PART_OF) HES1/Myb,PathwayCommons
Myb (ACTIVATION) PVT1,pid
Myb (ACTIVATION) PTGS2,pid
Myb (ACTIVATION) KITLG,pid
JUNB (dimer) (ACTIVATION) COL1A2,pid
JUNB (dimer) (ACTIVATION) IL4,pid
Fra2/JUNB (ACTIVATION) COL1A2,pid
SMAD3/SMAD4/ER alpha (INHIBITION) COL1A2,pid
Fra1/JUN (ACTIVATION) MMP2,pid
Fra1/JUN (ACTIVATION) CCL2,pid
Fra1/JUN (ACTIVATION) IL6,pid
Fra1/JUN (ACTIVATION) Fra1,pid
Fra1/JUN (ACTIVATION) MMP9,pid
Fra1/JUN (ACTIVATION) p14ARF,pid
Fra1/JUN (ACTIVATION) CXCL8,pid
LEF1/beta catenin (ACTIVATION) MMP2,pid
LEF1/beta catenin (ACTIVATION) DKK4,pid
LEF1/beta catenin (ACTIVATION) COX2,pid
LEF1/beta catenin (ACTIVATION) MMP9,pid
LEF1/beta catenin (ACTIVATION) PITX2,pid
LEF1/beta catenin (ACTIVATION) MITF,pid
p53 (tetramer) (ACTIVATION) MMP2,pid
p53 (tetramer) (ACTIVATION) HGF,pid
p53 (tetramer) (ACTIVATION) LIF,pid
p53 (tetramer) (ACTIVATION) TGFA,pid
p53 (tetramer) (ACTIVATION) p53,pid
p53 (tetramer) (ACTIVATION) RB1,pid
p53 (tetramer) (ACTIVATION) BID,pid
p53 (tetramer) (ACTIVATION) EGFR,pid
p53 (tetramer) (ACTIVATION) VDR,pid
p53 (tetramer) (ACTIVATION) P73,pid
p53 (tetramer) (ACTIVATION) MDM2,pid
p53 (tetramer) (ACTIVATION) PML,pid
p53 (tetramer) (ACTIVATION) ATF3,pid
p53 (tetramer) (ACTIVATION) p63,pid
p53 (tetramer) (ACTIVATION) FAS,pid
p53 (tetramer) (ACTIVATION) PTEN,pid
p53 (tetramer) (ACTIVATION) DDB2,pid
p53 (tetramer) (ACTIVATION) BCL6,pid
p53 (tetramer) (ACTIVATION) VCAN,pid
p53 (tetramer) (ACTIVATION) BDKRB2,pid
p53 (tetramer) (ACTIVATION) PMAIP1,pid
p53 (tetramer) (ACTIVATION) PROC,pid
p53 (tetramer) (INHIBITION) HSPA1A,pid
p53 (tetramer) (ACTIVATION) PCBP4,pid
p53 (tetramer) (ACTIVATION) SERPINB5,pid
p53 (tetramer) (INHIBITION) CDKN1A,pid
p53 (tetramer) (ACTIVATION) DDIT4,pid
Fra1/JUNB (ACTIVATION) MMP2,pid
Fra1/JUNB (ACTIVATION) p14ARF,pid
TAp63g (tetramer) (ACTIVATION) JAG1,pid
TAp63g (tetramer) (ACTIVATION) EGR2,pid
TAp63g (tetramer) (ACTIVATION) SMARCD3,pid
TAp63g (tetramer) (ACTIVATION) SHH,pid
TAp63g (tetramer) (ACTIVATION) VDR,pid
TAp63g (tetramer) (PART_OF) TAp63g (tetramer)/p14ARF,PathwayCommons
TAp63g (tetramer) (ACTIVATION) IKK alpha,pid
TAp63g (tetramer) (PART_OF) TAp63g (tetramer)/SSRP1,PathwayCommons
TAp63g (tetramer) (PART_OF) TAp63g (tetramer)/p300,PathwayCommons
TAp63g (tetramer) (PART_OF) TAp63g (tetramer)/NIR,PathwayCommons
TAp63g (tetramer) (ACTIVATION) SERPINB5,pid
TAp63g (tetramer) (ACTIVATION) CDKN1A,pid
JAG1 (INHIBITION) HES1,CTD
LPA/LPA1 (ACTIVATION) MMP2,pid
CCL2 (ACTIVATION) ICAM1,CTD
JUN (dimer) (ACTIVATION) CCL2,pid
JUN (dimer) (ACTIVATION) EGR1,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) CCL2,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) IL6,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) CXCL1,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) IL24,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) IL23R,pid
